image_url,title,price,reference_number,url
https://www.solanesjoier.com/4897-large_default/pendiente-en-oro-rosa-con-brillantes-en-definicion.jpg,Pendiente en Oro Rosa con Brillantes en Definición,"535,00 €",001120596,https://www.solanesjoier.com/joyas-lujo/1475-pendiente-en-oro-rosa-con-brillantes-en-definicion.html
https://www.solanesjoier.com/4889-large_default/pendientes-en-oro-rosa-con-baguette-y-brillantes.jpg,Pendientes en Oro Rosa con Baguette y Brillantes,"969,00 €",002264244,https://www.solanesjoier.com/joyas-lujo/1471-pendientes-en-oro-rosa-con-baguette-y-brillantes.html
https://www.solanesjoier.com/4891-large_default/pendientes-jacket-en-oro-blanco-y-brillantes.jpg,Pendientes Jacket en Oro Blanco y Brillantes,"1.398,00 €",002263802,https://www.solanesjoier.com/joyas-lujo/1472-pendientes-jacket-en-oro-blanco-y-brillantes.html
https://www.solanesjoier.com/4887-large_default/pendientes-en-oro-blanco-con-esmeraldas-ovales-y-brillantes.jpg,Pendientes en Oro Blanco con Esmeraldas Ovales y Brillantes,"1.490,00 €",005460175,https://www.solanesjoier.com/joyas-lujo/1470-pendientes-en-oro-blanco-con-esmeraldas-ovales-y-brillantes.html
https://www.solanesjoier.com/4885-large_default/anillo-oro-blanco-con-aguamarina-y-dos-brillantes.jpg,Anillo en Oro Blanco con Aguamarina y dos Brillantes,"495,00 €",000201526,https://www.solanesjoier.com/anillos-compromiso/1469-anillo-oro-blanco-con-aguamarina-y-dos-brillantes.html
https://www.solanesjoier.com/4883-large_default/pendientes-en-oro-blanco-con-rosetones-de-brillantes.jpg,Pendientes en Oro Blanco con Rosetones de Brillantes,"1.829,00 €",001830162,https://www.solanesjoier.com/joyas-lujo/1468-pendientes-en-oro-blanco-con-rosetones-de-brillantes.html
https://www.solanesjoier.com/4880-large_default/pendientes-en-oro-blanco-con-brillantes-y-perla-cultivada.jpg,Pendientes en Oro Blanco con Brillantes y Perla Cultivada,"368,00 €",001590101,https://www.solanesjoier.com/joyas-lujo/1467-pendientes-en-oro-blanco-con-brillantes-y-perla-cultivada.html
https://www.solanesjoier.com/4765-large_default/anillo-oro-blanco-con-diamante-esmeralda-y-tayper.jpg,Anillo Oro Blanco con Diamante Esmeralda y Tayper,,002350061,https://www.solanesjoier.com/joyas-lujo/1413-anillo-oro-blanco-con-diamante-esmeralda-y-tayper.html
https://www.solanesjoier.com/4767-large_default/anillo-oro-blanco-con-diamante-solitario-y-6-tallas-esmeralda.jpg,Anillo Oro Blanco con Diamante Solitario y 6 Tallas Esmeralda,,002264094,https://www.solanesjoier.com/joyas-lujo/1414-anillo-oro-blanco-con-diamante-solitario-y-6-tallas-esmeralda.html
https://www.solanesjoier.com/4757-large_default/anillo-oro-blanco-con-diamante-esmeralda.jpg,Anillo Oro Blanco con Diamante Esmeralda,"938,00 €",000251236,https://www.solanesjoier.com/joyas-lujo/1409-anillo-oro-blanco-con-diamante-esmeralda.html
https://www.solanesjoier.com/4755-large_default/anillo-oro-rosa-con-circulo-de-oro-y-brillante.jpg,Anillo Oro Rosa con Circulo de Oro y Brillante,"1.769,00 €",002263597,https://www.solanesjoier.com/joyas-lujo/1408-anillo-oro-rosa-con-circulo-de-oro-y-brillante.html
https://www.solanesjoier.com/4753-large_default/anillo-oro-rosa-con-circulo-de-oro-con-brillantes.jpg,Anillo Oro Rosa con Circulo de Oro con Brillantes,"2.929,00 €",002263855,https://www.solanesjoier.com/joyas-lujo/1407-anillo-oro-rosa-con-circulo-de-oro-con-brillantes.html
https://www.solanesjoier.com/4761-large_default/anillo-oro-blanco-toi-et-moi-oval.jpg,"Anillo Oro Blanco ""Toi et Moi"" Oval","1.286,00 €",000251235,https://www.solanesjoier.com/joyas-lujo/1411-anillo-oro-blanco-toi-et-moi-oval.html
https://www.solanesjoier.com/4683-large_default/anillo-oro-rosa-con-diamantes-talla-baguette-y-carre.jpg,Anillo Oro Rosa con Diamantes talla Baguette y Carré,"1.939,00 €",002264279,https://www.solanesjoier.com/joyas-lujo/1374-anillo-oro-rosa-con-diamantes-talla-baguette-y-carre.html
https://www.solanesjoier.com/4751-large_default/anillo-oro-blanco-con-pave-de-brillantes.jpg,Anillo Oro Blanco con Pavé de Brillantes,"1.050,00 €",001830163,https://www.solanesjoier.com/joyas-lujo/1406-anillo-oro-blanco-con-pave-de-brillantes.html
https://www.solanesjoier.com/4681-large_default/anillo-oro-rosa-con-diamante-esmeralda-central-y-baguette.jpg,Anillo Oro Rosa con Diamante Esmeralda central y Baguette,"1.857,00 €",002264286,https://www.solanesjoier.com/joyas-lujo/1373-anillo-oro-rosa-con-diamante-esmeralda-central-y-baguette.html
https://www.solanesjoier.com/4675-large_default/anillo-alianza-entera-oro-rosa-de-zafiros-rosas-y-tsavoritas.jpg,Anillo Alianza Entera Oro Rosa de Zafiros Rosas y Tsavoritas,"998,00 €",002264280,https://www.solanesjoier.com/joyas-lujo/1370-anillo-alianza-entera-oro-rosa-de-zafiros-rosas-y-tsavoritas.html
https://www.solanesjoier.com/4679-large_default/anillo-oro-blanco-con-zafiro-azul-central.jpg,Anillo Oro Blanco con Zafiro Azul Central,"849,00 €",002264278,https://www.solanesjoier.com/anillos-lujo/1372-anillo-oro-blanco-con-zafiro-azul-central.html
https://www.solanesjoier.com/4673-large_default/anillo-alianza-entera-oro-rosa-con-zafiros-colores.jpg,Anillo Alianza Entera Oro Rosa con Zafiros Colores,"939,00 €",002264264,https://www.solanesjoier.com/joyas-lujo/1369-anillo-alianza-entera-oro-rosa-con-zafiros-colores.html
https://www.solanesjoier.com/4677-large_default/anillo-oro-blanco-con-esmeralda-central.jpg,Anillo Oro Blanco con Esmeralda Central,"1.198,00 €",002264281,https://www.solanesjoier.com/anillos-lujo/1371-anillo-oro-blanco-con-esmeralda-central.html
